Site,Hole,Core,CoreType,Section,CuratedLength,TopDepth,BottomDepth,TopDepthScaled,BottomDepthScaled
1,A,1,H,1,1.45,0.1,1.55,0.1,1.55
1,A,1,H,2,1.273,1.55,2.823,1.55,2.823
1,A,1,H,9,0.04,2.823,2.863,2.823,2.863
1,A,2,H,1,1.505,3.1,4.605,3.1,4.605
1,A,2,H,2,1.27,4.605,5.875,4.605,5.875
1,A,2,H,9,0.04,5.875,5.915,5.875,5.915
1,A,3,H,1,1.5,6.1,7.6,6.1,7.6
1,A,3,H,2,1.015,7.6,8.615,7.6,8.615
1,A,3,H,3,0.145,8.615,8.76,8.615,8.76
1,A,3,H,9,0.01,8.76,8.77,8.76,8.77
1,A,4,H,1,1.507,9.1,10.607000000000001,9.1,10.607000000000001
1,A,4,H,2,1.28,10.607000000000001,11.887,10.607000000000001,11.887
1,A,4,H,9,0.07,11.887,11.957,11.887,11.957
1,A,5,H,1,1.51,12.1,13.61,12.1,13.61
1,A,5,H,2,1.4,13.61,15.01,13.61,15.01
1,A,5,H,9,0.02,15.01,15.03,15.01,15.03
1,A,6,H,1,1.495,15.1,16.595,15.1,16.595
1,A,6,H,2,1.445,16.595,18.04,16.595,18.04
1,A,6,H,9,0.06,18.04,18.1,18.04,18.1
1,A,7,H,1,1.505,18.1,19.605,18.1,19.605
1,A,7,H,2,1.365,19.605,20.97,19.605,20.97
1,A,7,H,9,0.02,20.97,20.99,20.97,20.99
1,A,8,H,1,1.51,21.1,22.61,21.1,22.61
1,A,8,H,2,1.405,22.61,24.015,22.61,24.015
1,A,9,H,1,1.499,24.1,25.599,24.1,25.599
1,A,9,H,2,0.48200000000000004,25.599,26.081,25.599,26.081
1,A,9,H,9,0.06,26.081,26.141,26.081,26.141
1,A,10,E,1,1.51,26.54,28.05,26.54,28.05
1,A,10,E,2,1.06,28.05,29.11,28.05,29.11
1,A,10,E,9,0.11,29.11,29.22,29.11,29.22
1,A,12,E,1,1.52,32.54,34.06,32.54,34.06
1,A,12,E,2,0.905,34.06,34.965,34.06,34.965
1,A,12,E,9,0.08,34.965,35.045,34.965,35.045
1,A,13,E,1,1.53,35.54,37.07,35.54,37.00645367
1,A,13,E,2,1.485,37.07,38.555,37.00645367,38.42977636
1,A,13,E,9,0.115,38.555,38.67,38.42977636,38.54
1,A,14,E,1,0.787,41.59,42.376999999999995,41.59,42.376999999999995
1,A,14,E,2,0.826,42.376999999999995,43.203,42.376999999999995,43.203
1,A,14,E,9,0.1,43.203,43.303000000000004,43.203,43.303000000000004
1,A,15,E,1,1.4969999999999999,44.59,46.086999999999996,44.59,45.89552326
1,A,15,E,2,1.02,46.086999999999996,47.107,45.89552326,46.78505814
1,A,15,E,3,0.843,47.107,47.95,46.78505814,47.52023256
1,A,15,E,9,0.08,47.95,48.03,47.52023256,47.59
1,A,16,E,1,1.508,47.59,49.098,47.59,49.03768
1,A,16,E,2,0.805,49.098,49.903,49.03768,49.81048
1,A,16,E,3,0.812,49.903,50.715,49.81048,50.59
1,A,17,E,1,1.506,50.59,52.096000000000004,50.59,52.00497025
1,A,17,E,2,0.8109999999999999,52.096000000000004,52.907,52.00497025,52.76694958
