Site,Hole,Core,Type,TopSection,TopOffset,BottomSection,BottomOffset,SpliceType,Comment
1,C,1,H,1,0,1,84,TIE,
1,A,1,H,1,42,2,106.8,TIE,
1,B,2,H,1,104,2,104.4,TIE,
1,A,2,H,1,90,2,32.6,TIE,
1,B,3,H,1,42,2,119.8,TIE,
1,A,3,H,1,117,2,48,TIE,
1,B,4,H,1,44,2,99.3,TIE,
1,C,4,H,1,131,2,103.3,TIE,
1,B,5,H,1,92,2,84.7,TIE,
1,C,6,H,1,113,2,137.3,TIE,
1,B,6,H,1,106,2,111.7,TIE,
1,C,7,H,2,27.1,2,113.1,TIE,
1,B,7,H,1,85,2,56.1,TIE,
1,A,6,H,1,54,2,36,TIE,
1,B,8,H,1,40.3,2,111.9,TIE,
1,A,7,H,2,14.4,2,71.4,TIE,
1,C,10,H,1,62,2,100.3,TIE,
1,A,8,H,1,126,2,85.9,TIE,
1,C,11,H,1,54,2,74.4,TIE,
1,B,11,H,1,88,2,57.3,TIE,
1,C,12,H,1,38,2,44.5,TIE,
1,B,12,H,1,48,2,126.2,TIE,
1,C,13,H,1,145,2,117.9,TIE,
1,B,13,H,1,51,2,78.8,TIE,
1,C,14,H,1,127,2,90.4,TIE,
1,B,14,H,1,97,2,87.9,TIE,
1,C,15,H,1,61,2,23.1,TIE,
1,B,15,H,1,53,2,73.9,TIE,
1,C,16,H,2,2.5,2,122.5,TIE,
1,B,16,H,1,57,2,72.3,APPEND,
1,C,17,H,2,119,2,141.5,APPEND,
1,A,16,E,3,0,3,81.2,APPEND,unclear/not reliable
1,A,17,E,1,0,3,84.6,APPEND,unclear/not reliable
1,B,17,H,1,0,3,61,APPEND,
1,B,18,H,1,0,2,130,APPEND,
1,B,19,H,1,0,3,115,APPEND,
1,B,20,H,1,0,4,13,APPEND,
1,B,21,H,1,0,2,64.5,TIE,
1,C,22,H,1,76.5,2,132,TIE,
1,B,22,H,3,0,3,27,APPEND,
1,B,23,H,1,0,2,108,TIE,
1,C,23,H,1,127,4,13,TIE,
1,B,24,H,1,0,3,73,APPEND,
1,B,25,H,1,0,2,122,APPEND,
1,B,26,H,1,8.5,1,117,TIE,
1,C,26,H,1,105,2,128,APPEND,
1,C,27,H,1,0,3,18,APPEND,
1,C,28,H,1,8,2,41,TIE,
1,A,25,H,1,141,3,131,APPEND,
1,A,26,H,1,0,2,125,APPEND,
1,A,27,H,1,0,2,127,TIE,
1,C,31,E,1,41.5,2,55,TIE,
1,A,28,H,1,52.5,2,38,TIE,
1,B,32,H,1,16.5,2,41,TIE,
1,A,29,H,2,68,3,53,TIE,
1,B,33,H,2,20.5,3,112,TIE,
1,A,30,H,2,11,4,16.5,APPEND,
1,A,31,E,1,0,2,117.5,,
