SectionID,Project,LocationID,Year,Site,Hole,Core,CoreType,Section,Sec Depth (cm),"Sediment Depth, unscaled (MBS / CSF-A)","Sediment Depth, scaled (MBS / CSF-B)",Sec Depth Beyond ICD Sec L,Sample Surface,Validity,EGain,EOffset,FSlope,FOffset,Kcps,MSE,Al,Ar,As,Au,Ba,Bi,Br,Ca,Cd,Ce,Cl,Co,Cu,Fe,Hg,Ir,K,Mg,Mn,Ni,P,Pm,Pr,Pt,Rb,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Ti,Tm,V,W,Y,Zn,Zr,Incoherent,Coherent
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,0,74.18,74.18,,6.54,1,0.018366,-0.008507,0.011014,0.070625,9142.43359,5.7,14,27247,0,82,50,287,212,2794,7,155,64,5,27,514,0,0,86,0,550,230,,201,356,0,515,0,101,32,380,8,195,24,999,40,0,164,20,192,216,0,0,227,11509,19831
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,1,74.19,74.18985222,,7.04,1,0.018361,-0.008507,0.011014,0.070625,99538.45313,3.85,809,12114,352,608,0,590,0,1159418,365,2075,1098,1858,581,276820,820,823,18091,40,11462,313,,3936,2087,1043,1000,5970,7781,4931,722,7368,1409,226,4837,627,152,50282,1537,1069,4287,720,1328,2950,47890,168548
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,2,74.2,74.19970443,,7.21,1,0.018362,-0.008507,0.011023,0.070625,140436.9375,5.94,1272,8909,391,885,0,1018,0,1725942,381,3072,635,2844,844,389930,1113,1360,27424,70,15883,725,,5739,2899,1575,1538,12388,11528,7334,1007,11083,1735,402,6061,849,139,75325,2414,1298,6149,486,1795,3901,63102,233956
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,3,74.21,74.20955665,,7.1,1,0.018362,-0.008507,0.011022,0.070625,106223.4844,4.48,819,12094,134,671,0,688,0,1277523,516,2123,490,1672,503,271272,851,706,17772,65,12042,833,,4618,2239,1177,1472,2782,8432,6039,794,7543,1293,305,5536,907,199,53136,1562,990,4709,385,1000,2794,51564,185413
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,4,74.22,74.21940887,,7.18,1,0.018362,-0.008507,0.011021,0.070625,148246.3438,6.33,1208,8291,60,900,0,965,0,2000807,590,2718,697,2605,671,311410,1180,1056,23551,33,15126,1082,,4617,2722,1189,1820,1358,13800,8332,1170,9427,1548,310,7463,761,329,60257,2489,1151,5775,963,1356,3512,61856,222147
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,5,74.23,74.22926108,,7.21,1,0.018362,-0.008507,0.011021,0.070625,152517.0625,6.72,1118,8487,102,704,0,671,0,2149939,880,2651,657,2390,572,293529,951,1068,23806,51,16124,1133,,5307,2554,1235,1565,1470,14935,8815,803,9429,1726,345,7660,796,0,56985,2461,1347,5877,1155,1153,3114,60752,214926
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,6,74.24,74.2391133,,7.22,1,0.018362,-0.008507,0.011021,0.070625,150191.1406,5.93,1106,8645,269,841,0,779,0,2052001,531,2737,656,2318,434,306426,1636,1260,25756,18,15550,1456,,5146,2778,1210,1724,1543,14385,8753,1041,9453,1816,436,7607,1156,216,60676,2233,732,5875,944,1335,3666,62190,220327
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,7,74.25,74.24896552,,7.23,1,0.018362,-0.008507,0.011021,0.070625,143052.7031,5.61,1157,9515,198,721,0,955,0,1741306,489,3026,638,2545,750,362793,1072,982,27201,67,16196,906,,6903,2767,1512,1728,1911,12349,7762,981,10319,1817,454,6959,1371,460,71685,2190,1165,6077,897,1536,3847,68594,240025
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,8,74.26,74.25881773,,7.22,1,0.018362,-0.008507,0.011021,0.070625,136423.0781,5.52,1086,9051,104,389,0,934,0,1629779,658,3311,627,2150,801,348995,1062,1289,25366,84,15354,1200,,5874,3091,1184,2132,1967,11321,7699,1108,9614,1608,242,7071,1160,663,69556,1994,1141,6163,934,1297,3702,66019,233258
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,9,74.27,74.26866995,,7.27,1,0.018362,-0.008507,0.011021,0.070625,144277.4688,5.25,1157,9390,185,476,0,976,0,1825546,417,2349,623,2603,714,341867,1194,1122,28711,71,16466,1230,,7316,2866,1194,1267,1641,13226,8370,961,9659,1815,392,7106,1216,215,67790,2291,1037,6176,736,1577,3387,67485,227632
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,10,74.28,74.27852217,,7.29,1,0.018362,-0.008507,0.011021,0.070625,145244.8438,5.36,1145,10476,256,714,0,1084,0,1872910,626,2944,707,2455,695,333089,986,1129,30969,21,15697,1489,,6496,3106,1487,1325,2548,13732,7839,851,9628,1797,509,6852,1185,559,67422,2128,623,6190,925,1284,3442,66530,224332
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,11,74.29,74.28837438,,7.3,1,0.018362,-0.008507,0.011021,0.070625,143111.8594,4.81,1175,10610,311,730,0,864,0,1789092,620,2278,641,2502,365,354799,975,1091,24810,93,16470,1372,,5949,3023,1530,1411,3532,13030,7472,789,9606,1796,357,7450,1211,520,67221,2345,1308,6117,641,1508,3460,68947,229718
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,12,74.3,74.2982266,,7.3,1,0.018362,-0.008507,0.011021,0.070625,141735.2656,5.14,1091,10297,126,440,0,934,0,1758153,691,2451,616,2514,681,351243,1237,968,22713,89,16650,1201,,6477,2913,1336,1571,1683,12346,7371,1321,9376,1800,141,7399,1221,451,68439,2266,1289,6231,791,1590,3682,69363,227854
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,13,74.31,74.30807882,,7.31,1,0.018362,-0.008507,0.011021,0.070625,146261.2188,5.12,1175,10586,16,477,0,968,0,1892871,436,2245,607,2879,849,340636,1066,1090,22550,61,16216,1182,,5040,2747,1188,1456,1385,13440,8173,722,9414,1754,429,7846,955,329,65903,2328,1218,6326,995,1253,3569,68219,230600
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,14,74.32,74.31793103,,7.32,1,0.018362,-0.008507,0.011021,0.070625,148206.7188,5.35,1186,10767,111,635,0,442,0,1967594,562,2790,769,2403,666,332150,1138,1037,22668,0,16717,1272,,6100,2750,1257,1566,1570,14130,8322,1109,9226,1889,263,7691,1244,501,63945,2052,1032,6146,757,1172,3687,66672,222196
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,15,74.33,74.32778325,,7.32,1,0.018362,-0.008507,0.011021,0.070625,150216.7656,5.48,1214,10844,274,799,0,702,0,2030728,508,2733,725,2686,766,326808,718,886,22850,49,16885,1466,,4631,2849,1248,1277,1354,14749,8350,1024,9227,1846,440,7568,1088,328,63071,2288,904,6051,652,1393,3715,66110,221455
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,16,74.34,74.33763547,,7.32,1,0.018362,-0.008507,0.011021,0.070625,151328.7813,6.18,1125,11927,160,578,0,935,0,2053719,668,3110,735,2652,675,329319,1473,1351,22427,95,16859,1164,,4844,2655,1422,1495,1819,14240,8644,933,9503,1796,325,7713,952,327,63881,2254,1236,6260,565,1327,3732,66944,219552
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,17,74.35,74.34748768,,7.27,1,0.018362,-0.008507,0.011021,0.070625,148159.9219,5.5,1202,11917,406,741,0,987,0,1992176,576,2550,661,2362,635,329365,1201,1200,21868,106,16045,1420,,4128,2595,1493,1373,1373,13847,7892,1000,9323,1635,375,7200,1026,623,62184,2154,1406,6083,623,1468,3545,65706,213431
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,18,74.36,74.3573399,,7.24,1,0.018362,-0.008507,0.011021,0.070625,145649.5313,5.76,1028,10373,152,543,0,897,0,2000297,327,2802,681,2338,553,303584,1182,1085,20998,46,15857,1728,,5179,2688,1251,1042,1468,13943,8662,1091,8541,1534,255,7299,1119,362,57804,2177,1242,5975,781,1174,3116,64263,210334
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,19,74.37,74.36719212,,7.3,1,0.018362,-0.008507,0.011021,0.070625,153760.625,6.28,1096,11306,147,636,0,685,0,2225475,851,2702,803,2264,482,286491,936,1159,20869,66,17498,1532,,5169,2561,1360,1215,1807,15673,8862,789,8640,1608,295,7609,984,457,55267,2441,915,5844,817,1262,3308,61210,208564
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,20,74.38,74.37704433,,7.32,1,0.018362,-0.008507,0.011021,0.070625,155537.1563,6.39,1113,10870,138,713,0,999,0,2250092,594,2575,855,2728,528,292976,1419,1161,22031,34,17560,1237,,5746,2515,1261,1479,2024,15575,8536,1371,9016,1852,336,7999,1019,0,55867,2640,1416,6072,839,1184,3547,62348,205817
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,21,74.39,74.38689655,,7.31,1,0.018362,-0.008507,0.011021,0.070625,151851.3906,5.8,1128,11192,650,824,0,650,0,2111190,622,2622,757,2947,380,315796,1332,1207,21429,46,16921,1074,,6075,2763,1687,1370,1989,15090,9015,1287,9097,1733,495,8040,1063,407,59582,2668,1406,6077,730,1151,3099,64113,212117
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,22,74.4,74.39674877,,7.3,1,0.018362,-0.008507,0.011021,0.070625,148262.125,5.47,1019,11354,190,621,0,785,0,2020113,656,2974,641,2296,914,319004,990,1009,20785,32,16046,1302,,5399,2585,1272,1432,1750,14110,8236,1218,8957,1491,311,7566,983,539,59726,2293,1335,6156,381,1457,3378,64588,214571
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,23,74.41,74.40660099,,7.31,1,0.018362,-0.008507,0.011021,0.070625,149524.0625,5.7,1053,11099,189,627,0,630,0,2057190,873,2601,746,2889,538,310786,1381,1256,20916,47,16364,1100,,3785,2789,1259,1539,1307,14034,8207,652,8928,1786,326,7333,1008,229,59715,2433,1046,5878,897,1295,3229,64430,219484
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,24,74.42,74.4164532,,7.33,1,0.018362,-0.008507,0.011021,0.070625,146890.6719,5.42,1150,10893,169,656,0,638,0,1950512,524,2164,688,2465,683,320483,1386,1301,21599,66,16057,1468,,4916,3034,1321,1503,1403,13681,7772,1313,8886,1750,474,7774,890,378,61637,2475,971,6137,981,1370,3535,67228,222946
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,25,74.43,74.42630542,,7.35,1,0.018362,-0.008507,0.011021,0.070625,142983.2344,4.97,1072,11029,139,604,0,554,0,1810954,549,2648,653,2494,745,345203,973,945,21581,13,16210,1653,,6570,2954,1569,1298,1287,13026,7981,697,9601,1986,295,7211,1251,543,66391,2030,1385,6231,691,1403,3248,68547,223775
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,26,74.44,74.43615764,,7.36,1,0.018362,-0.008507,0.011021,0.070625,150012.0313,5.88,1128,10634,303,428,0,630,0,2053361,742,2907,664,2457,618,317229,1475,1231,21737,45,17016,1126,,4543,2714,1363,1346,1429,14245,8872,873,9335,1962,304,7405,947,50,60880,2617,979,6071,957,1466,3465,63719,218561
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,27,74.45,74.44600985,,7.38,1,0.018362,-0.008507,0.011021,0.070625,145987.6719,5.63,1063,11020,279,684,0,639,0,1937509,757,2946,639,2515,757,326603,1426,1330,23127,0,15737,1441,,5681,2936,1478,1775,1317,13735,8718,924,9372,1678,274,7107,959,495,62929,2482,851,6099,721,1507,3360,64191,216443
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,28,74.46,74.45586207,,7.39,1,0.018362,-0.008507,0.011021,0.070625,143739,5.26,1114,10905,189,508,0,614,0,1877491,831,2981,681,2752,722,332701,1069,1237,23560,65,14732,1129,,4239,2805,1324,1589,2267,13212,7596,1029,9357,1645,240,7095,766,880,63097,2361,1243,5746,629,1258,3476,64053,216180
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,29,74.47,74.46571429,,7.4,1,0.018362,-0.008507,0.011021,0.070625,147323.25,5.3,1115,10903,315,531,0,951,0,1958492,843,2546,665,2680,497,331586,1362,1361,22697,39,15968,763,,5284,2672,1302,1506,1463,13875,8498,1117,9601,1726,289,7474,1313,166,62812,2046,1372,6144,1285,1139,3620,64682,221260
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,30,74.48,74.4755665,,7.43,1,0.018362,-0.008507,0.011021,0.070625,148423.9688,5.24,1077,10533,192,772,0,927,0,1987896,543,2605,667,2452,741,327181,1404,1160,22653,64,16160,1370,,5737,2786,1267,1472,1452,13817,8089,1224,9423,1533,406,7798,1214,504,63122,2127,1108,5928,489,1279,3191,65593,222253
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,31,74.49,74.48541872,,7.45,1,0.018362,-0.008507,0.011021,0.070625,149914.0625,6.02,1139,10800,173,712,0,740,0,2038000,816,3148,716,2552,610,317608,1377,1403,23370,41,16157,1081,,5058,2722,1439,1478,1521,14104,8084,797,9345,1810,352,7028,980,279,61890,2405,1238,6108,1065,1328,3455,64195,221684
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,32,74.5,74.49527094,,7.46,1,0.018362,-0.008507,0.011021,0.070625,149395.4688,5.8,1192,10684,24,408,0,736,0,1994111,509,2955,808,2831,925,328769,1118,1436,25242,173,15635,839,,6429,2697,1501,1402,1593,14268,8393,971,9592,1812,359,7528,1258,170,63711,2365,1244,6145,763,1545,3384,66077,224108
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,33,74.51,74.50512315,,7.46,1,0.018362,-0.008507,0.011021,0.070625,153565.2031,5.55,1129,10659,243,738,0,782,0,2087142,728,2978,742,2480,431,325855,999,1345,25939,29,16741,1073,,5997,2907,1516,1453,1476,14599,8321,862,10076,1599,270,7767,790,624,62409,2562,1125,6129,946,1170,3099,65761,225541
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,34,74.52,74.51497537,,7.44,1,0.018362,-0.008507,0.011021,0.070625,146108.3125,5.18,1159,12129,179,530,0,667,0,1890220,603,2495,653,2496,879,345010,1154,941,25120,39,15278,1455,,5427,2821,1524,1619,2591,13327,7280,980,10042,1789,402,7454,917,376,64655,2361,1284,6205,485,1477,3173,67290,220133
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,35,74.53,74.52482759,,7.3,1,0.018362,-0.008507,0.011021,0.070625,135099.25,5.01,968,9866,380,789,0,850,0,1705322,862,2419,620,2506,794,314790,1083,1062,19245,44,15583,843,,5892,2640,1394,1572,1813,11968,7683,933,8824,1729,295,6949,1133,374,59738,1991,1306,5779,789,1425,3482,63305,215722
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,36,74.54,74.5346798,,7.46,1,0.018362,-0.008507,0.011021,0.070625,149158.5469,5.08,1106,10379,402,668,0,855,0,2014170,558,2736,690,2540,958,317666,1415,1089,21094,41,16071,1256,,4993,2919,1377,1038,1581,14356,8529,955,9448,1681,341,7346,1125,436,60190,2214,1054,6023,876,1419,3320,66205,221190
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,37,74.55,74.54453202,,7.48,1,0.018362,-0.008507,0.011021,0.070625,153646.0938,5.66,1112,10383,162,708,0,827,0,2118804,620,2635,712,2475,474,319094,1221,1329,21434,44,16218,1198,,5063,2736,1252,1037,1970,15176,8249,1036,9441,1814,153,7458,1133,633,59852,2421,1065,6055,644,1288,3503,65825,220196
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,38,74.56,74.55438424,,7.47,1,0.018362,-0.008507,0.011021,0.070625,150783.6563,5.27,1139,10114,161,917,0,860,0,2015892,546,2940,674,2748,575,330649,1166,1236,22002,91,16183,959,,5889,2746,1471,1524,2015,14468,8260,620,9787,1717,242,7326,842,453,63104,2382,1213,5939,762,1227,3440,67141,223659
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,39,74.57,74.56423645,,7.44,1,0.018362,-0.008507,0.011021,0.070625,145881.2813,5.67,1073,9941,395,630,0,827,0,1913060,563,2925,716,2451,575,330068,1278,1331,21015,85,16006,1131,,6346,2834,1387,1327,2641,13597,8137,1329,9609,1596,329,7303,1025,545,62627,2265,1301,5947,720,1344,3339,64864,218689
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,40,74.58,74.57408867,,7.4,1,0.018362,-0.008507,0.011021,0.070625,147636.6875,5.73,1129,9484,91,668,0,885,0,1956598,551,3037,652,2419,701,324847,1193,1280,20288,55,15867,1177,,4307,2866,1531,1309,2335,13549,8132,977,9431,1627,353,7459,1062,475,62321,2126,1067,6048,571,1357,3112,64886,226876
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,41,74.59,74.58394089,,7.46,1,0.018362,-0.008507,0.011021,0.070625,147850.8281,5.25,1125,10085,0,637,0,888,0,1929157,607,2683,597,2422,649,337200,983,1166,21466,41,15693,1143,,5165,2918,980,1300,1720,13959,8014,1275,9656,1860,320,7325,1176,593,64247,2463,1128,6219,924,1617,3485,67607,231313
GLAD9-PET06-1A-25H-1,GLAD9,PET,2006,1,A,25,H,1,42,74.6,74.5937931,,7.46,1,0.018362,-0.008507,0.011021,0.070625,147704.7344,4.87,1122,10026,196,515,0,936,0,1931574,519,2309,698,2409,845,338207,1154,1204,21404,77,16114,1330,,6534,2702,1306,1577,1828,13879,8374,1196,9841,2113,284,7947,1177,359,63745,2059,1446,5954,735,1741,3310,67250,228184
