Exp,Site,Hole,Core,CoreType,Section,TopDepth,BottomDepth,CuratedLength
GLAD9-PET06,1,A,1,H,1,0.1,1.55,1.45
GLAD9-PET06,1,A,1,H,2,1.55,2.823,1.273
GLAD9-PET06,1,A,1,H,9,2.823,2.863,0.04
GLAD9-PET06,1,A,2,H,1,3.1,4.605,1.505
GLAD9-PET06,1,A,2,H,2,4.605,5.875,1.27
GLAD9-PET06,1,A,2,H,9,5.875,5.915,0.04
GLAD9-PET06,1,A,3,H,1,6.1,7.6,1.5
GLAD9-PET06,1,A,3,H,2,7.6,8.615,1.015
GLAD9-PET06,1,A,3,H,3,8.615,8.76,0.145
GLAD9-PET06,1,A,3,H,9,8.76,8.77,0.01
GLAD9-PET06,1,A,4,H,1,9.1,10.607,1.507
GLAD9-PET06,1,A,4,H,2,10.607,11.887,1.28
GLAD9-PET06,1,A,4,H,9,11.887,11.957,0.07
GLAD9-PET06,1,A,5,H,1,12.1,13.61,1.51
GLAD9-PET06,1,A,5,H,2,13.61,15.01,1.4
GLAD9-PET06,1,A,5,H,9,15.01,15.03,0.02
GLAD9-PET06,1,A,6,H,1,15.1,16.595,1.495
GLAD9-PET06,1,A,6,H,2,16.595,18.04,1.445
GLAD9-PET06,1,A,6,H,9,18.04,18.1,0.06
GLAD9-PET06,1,A,7,H,1,18.1,19.605,1.505
GLAD9-PET06,1,A,7,H,2,19.605,20.97,1.365
GLAD9-PET06,1,A,7,H,9,20.97,20.99,0.02
GLAD9-PET06,1,A,8,H,1,21.1,22.61,1.51
GLAD9-PET06,1,A,8,H,2,22.61,24.015,1.405
GLAD9-PET06,1,A,9,H,1,24.1,25.599,1.499
GLAD9-PET06,1,A,9,H,2,25.599,26.081,0.482
GLAD9-PET06,1,A,9,H,9,26.081,26.141,0.06
GLAD9-PET06,1,A,10,E,1,26.54,28.05,1.51
GLAD9-PET06,1,A,10,E,2,28.05,29.11,1.06
GLAD9-PET06,1,A,10,E,9,29.11,29.22,0.11
GLAD9-PET06,1,A,12,E,1,32.54,34.06,1.52
GLAD9-PET06,1,A,12,E,2,34.06,34.965,0.905
GLAD9-PET06,1,A,12,E,9,34.965,35.045,0.08
GLAD9-PET06,1,A,13,E,1,35.54,37.00645367,1.53
GLAD9-PET06,1,A,13,E,2,37.00645367,38.42977636,1.485
GLAD9-PET06,1,A,13,E,9,38.42977636,38.54,0.115
GLAD9-PET06,1,A,14,E,1,41.59,42.377,0.787
GLAD9-PET06,1,A,14,E,2,42.377,43.203,0.826
GLAD9-PET06,1,A,14,E,9,43.203,43.303,0.1
GLAD9-PET06,1,A,15,E,1,44.59,45.89552326,1.497
GLAD9-PET06,1,A,15,E,2,45.89552326,46.78505814,1.02
GLAD9-PET06,1,A,15,E,3,46.78505814,47.52023256,0.843
GLAD9-PET06,1,A,15,E,9,47.52023256,47.59,0.08
GLAD9-PET06,1,A,16,E,1,47.59,49.03768,1.508
GLAD9-PET06,1,A,16,E,2,49.03768,49.81048,0.805
GLAD9-PET06,1,A,16,E,3,49.81048,50.59,0.812
GLAD9-PET06,1,A,17,E,1,50.59,52.00497025,1.506
GLAD9-PET06,1,A,17,E,2,52.00497025,52.76694958,0.811
GLAD9-PET06,1,A,17,E,3,52.76694958,53.56181334,0.846
GLAD9-PET06,1,A,17,E,9,53.56181334,53.59,0.03
GLAD9-PET06,1,A,18,E,9,53.59,53.69,0.1
GLAD9-PET06,1,A,20,H,1,59.59,60.385,0.795
GLAD9-PET06,1,A,20,H,2,60.385,61.4,1.015
GLAD9-PET06,1,A,20,H,3,61.4,62.43,1.03
GLAD9-PET06,1,A,20,H,9,62.43,62.51,0.08
GLAD9-PET06,1,A,21,H,1,62.59,63.85147382,1.301
GLAD9-PET06,1,A,21,H,2,63.85147382,64.68534583,0.86
GLAD9-PET06,1,A,21,H,3,64.68534583,65.55121526,0.893
