Site,Hole,Core,CoreType,Depth CSF (m),Depth CCSF (m),Offset,Differential Offset (m),Growth Rate,Shift Type,Data Used,Quality Comment
1,A,1,H,0.52,0.84,0.32,0.32,0,TIE,,splice
1,A,2,H,4,4.437,0.437,0.117,1.034,TIE,,splice
1,A,3,H,7.27,7.656,0.386,-0.051,1.01,TIE,,splice
1,A,4,H,9.1,9.526,0.426,0.04,1.009,TIE,,off-splice
1,A,5,H,12.1,12.04728667,-0.052713333,-0.478713333,0.975,TIE,,off-splice
1,A,6,H,15.64,18.58789196,2.947891955,3.000605288,1.12,TIE,,splice
1,A,7,H,19.749,22.12505306,2.376053057,-0.571838898,1.129,TIE,,splice
1,A,8,H,22.36,24.58305306,2.223053057,-0.153,1.119,TIE,,splice
1,A,9,H,24.1,23.04505306,-1.054946943,-3.278,1.042,TIE,,off-splice
1,A,10,E,26.54,25.56205306,-0.977946943,0.077,1,TIE,,off-splice
1,A,12,E,32.54,32.54103949,0.001039488,0.978986431,0.988,TIE,,off-splice
1,A,13,E,35.54,35.04369006,-0.496309942,-0.49734943,0.977,TIE,,off-splice
1,A,14,E,41.59,41.62470291,0.034702909,0.531012851,0.977,TIE,,off-splice
1,A,15,E,44.59,54.54670291,9.956702909,9.922,1.071,TIE,,off-splice
1,A,16,E,49.81,49.84470291,0.034702909,-9.922,1.045,TIE,,splice
1,A,17,E,50.59,50.62470291,0.034702909,0,1.03,TIE,,splice
1,A,20,H,59.59,69.68793018,10.09793018,10.06322727,1.081,TIE,,off-splice
1,A,21,H,62.59,74.01993018,11.42993018,1.332,1.118,TIE,,off-splice
1,A,22,H,65.59,77.01993018,11.42993018,-7.11E-15,1.141,TIE,,off-splice
1,A,23,H,68.48,78.63993018,10.15993018,-1.27,1.15,TIE,,off-splice
1,A,24,H,71.48,81.91993018,10.43993018,0.28,1.156,TIE,,off-splice
1,A,25,H,75.56925084,85.97993018,10.41067934,-0.029250836,1.158,TIE,,splice
1,A,26,H,77.18,87.59067934,10.41067934,0,1.159,TIE,,splice
1,A,27,H,79.73,90.14067934,10.41067934,0,1.158,TIE,,splice
1,A,28,H,83.24451398,93.93539126,10.69087728,0.28019794,1.157,TIE,,splice
1,A,29,H,85.96458182,97.00102358,11.03644176,0.345564478,1.156,TIE,,splice
1,A,30,H,87.64113493,99.36496915,11.72383422,0.687392457,1.156,TIE,,splice
1,A,31,E,89.04,100.7638342,11.72383422,0,1.156,TIE,,splice
1,B,2,H,2.64,2.938,0.298,0.298,0,TIE,,splice
1,B,3,H,5.02,5.368,0.348,0.05,1.021,TIE,,splice
1,B,4,H,8.04,8.466,0.426,0.078,1.024,TIE,,splice
1,B,5,H,11.52,11.767,0.247,-0.179,0.996,TIE,,splice
1,B,6,H,14.66,14.92969868,0.269698678,0.022698678,0.994,TIE,,splice
1,B,7,H,17.38,17.35689196,-0.023108045,-0.292806723,0.981,TIE,,splice
1,B,8,H,19.83219934,19.90289196,0.070692617,0.093800662,0.981,TIE,,splice
1,B,9,H,22.43,21.37505306,-1.054946943,-1.12563956,0.951,TIE,,off-splice
