Site1,Hole1,Core1,Tool1,Section1,SectionDepth1,Site2,Hole2,Core2,Tool2,Section2,SectionDepth2
1,F,1,H,1,50.5,1,B,2,H,1,30
1,F,3,H,2,131.5,1,D,4,H,1,110
1,F,4,H,1,20.5,1,D,4,H,2,13
1,F,7,H,1,23.5,1,D,8,H,1,60.5
1,F,11,H,1,17.5,1,B,13,H,2,12
1,F,11,H,1,65.5,1,B,13,H,2,60
1,F,11,H,1,113.5,1,B,13,H,2,112
1,F,12,H,2,142.5,1,D,16,H,2,35
1,F,13,H,1,32.5,1,D,16,H,2,83
1,F,13,H,2,127.5,1,D,17,H,2,56.5
1,F,14,H,2,150.5,1,B,17,H,2,140
1,F,17,H,1,47.5,1,B,21,H,2,22
1,F,20,H,1,3.5,1,E,7,H,2,92
1,F,25,A,2,151.5,1,E,12,H,1,96
1,F,26,H,2,148.5,1,E,13,H,1,100
1,F,27,H,2,125.5,1,E,14,H,1,60
1,F,31,H,3,6.5,1,E,18,H,1,106.5
1,F,28,H,1,15,1,E,14,H,1,128
1,F,29,H,2,142,1,E,16,H,1,96
1,F,31,H,1,13,1,E,17,H,1,126
1,B,2,H,3,0.5,1,D,2,H,1,96
1,B,4,H,3,0.5,1,F,3,H,2,20
1,B,5,H,3,0.5,1,F,4,H,1,100
1,B,7,H,3,0.5,1,F,5,H,2,130
1,B,9,H,3,0.5,1,F,7,H,2,23
1,B,12,H,3,0.5,1,F,10,H,2,15
1,B,15,H,3,0.5,1,F,13,H,2,4
1,B,16,H,3,0.5,1,F,14,H,1,145
1,B,20,H,3,0.5,1,F,16,H,2,35
1,B,21,H,3,0.5,1,F,17,H,2,30
1,B,23,H,3,0.5,1,F,19,H,1,130
1,B,24,H,3,0.5,1,F,20,H,1,126
1,B,25,H,3,0.5,1,F,21,H,1,112
1,B,26,H,3,0.5,1,F,22,H,1,120
1,B,30,H,3,0.5,1,F,26,H,1,80
1,B,31,H,3,0.5,1,F,27,H,1,65
1,B,32,H,3,0.5,1,F,28,H,1,56
1,B,33,H,3,0.5,1,F,29,H,1,54
1,B,34,H,3,0.5,1,F,30,H,1,66
1,B,37,H,3,0.5,1,F,32,H,2,115
1,B,38,H,3,0.5,1,F,33,H,2,87
1,B,39,H,3,0.5,1,F,34,H,2,66
1,D,2,H,3,0.5,1,F,2,H,2,30
1,D,3,H,3,0.5,1,F,3,H,2,50
1,D,4,H,3,0.5,1,F,4,H,2,18
1,D,5,H,3,0.5,1,F,5,H,2,50
1,D,6,H,3,0.5,1,F,6,H,2,53
1,D,9,H,3,0.5,1,F,8,H,2,55
1,D,12,H,3,0.5,1,F,10,H,1,29
1,D,13,H,3,0.5,1,F,10,H,2,125
1,D,14,H,3,0.5,1,F,11,H,2,76
1,D,16,H,3,0.5,1,F,13,H,1,100
1,D,17,H,3,0.5,1,F,14,H,1,56
1,D,18,H,3,0.5,1,B,17,H,2,60
1,D,22,H,3,0.5,1,B,21,H,1,102
1,D,23,H,3,0.5,1,F,17,H,2,100
1,E,4,H,3,0.5,1,B,22,H,2,43
1,E,7,H,3,0.5,1,F,20,H,1,65
1,E,8,H,3,0.5,1,F,21,H,1,62
1,E,13,H,3,0.5,1,F,27,H,2,40
1,E,14,H,3,0.5,1,F,28,H,2,30
1,E,15,H,3,0.5,1,F,29,H,2,40
1,E,16,H,3,0.5,1,F,30,H,2,40
1,E,17,H,3,0.5,1,F,31,H,2,35
1,E,18,H,3,0.5,1,F,32,H,2,30
1,E,19,H,3,0.5,1,F,33,H,2,30
1,F,1,H,3,0.5,1,D,2,H,1,108
1,F,2,H,3,0.5,1,D,3,H,1,104
1,F,3,H,3,0.5,1,D,4,H,1,130
1,F,4,H,3,0.5,1,D,5,H,1,85
1,F,5,H,3,0.5,1,D,6,H,1,100
1,F,6,H,3,0.5,1,D,6,H,1,100
1,F,9,H,3,0.5,1,D,12,H,2,110
1,F,10,H,3,0.5,1,B,13,H,1,133
1,F,11,H,3,0.5,1,D,15,H,1,103
1,F,12,H,3,0.5,1,D,16,H,2,45
1,F,13,H,3,0.5,1,D,17,H,2,83
1,F,14,H,3,0.5,1,B,17,H,1,139
1,F,16,H,3,0.5,1,B,21,H,1,105
1,F,17,H,3,0.5,1,B,22,H,2,22
1,F,19,H,3,0.5,1,E,7,H,2,82
1,F,20,H,3,0.5,1,E,8,H,2,76
1,F,21,H,3,0.5,1,E,9,H,2,105
1,F,22,H,3,0.5,1,E,10,H,2,89
1,F,26,H,3,0.5,1,E,13,H,1,105
1,F,27,H,3,0.5,1,E,14,H,1,88
1,F,28,H,3,0.5,1,E,15,H,1,106
1,F,29,H,3,0.5,1,E,16,H,1,108
1,F,30,H,3,0.5,1,E,17,H,1,108
1,F,32,H,3,0.5,1,E,19,H,1,113
