Hole,Core,CoreType,Section,CuratedLength,TopDepthUnscaled,BottomDepthUnscaled,TopDepthScaled,BottomDepthScaled,Gaps
A,2,H,1,1.451,0.23,1.681,0.23,1.67666002,
A,2,H,2,1.511,1.681,3.192,1.67666002,3.183140578,
A,2,H,3,0.047,3.192,3.239,3.183140578,3.23,
A,3,H,1,0.56,3.23,3.79,3.23,3.759133858,
A,3,H,2,1.01,3.79,4.775,3.759133858,4.68984252,0.0-2.5
A,3,H,3,1.51,4.775,6.27,4.68984252,6.102440945,0.0-1.5
A,3,H,4,0.135,6.27,6.405,6.102440945,6.23,
A,4,H,1,0.44,6.23,6.66,6.23,6.629010207,42.5-43.5
A,4,H,2,1.51,6.66,8.145,6.629010207,8.006987318,0.0-1.0 149.5-151.0
A,4,H,3,1.209,8.145,9.334,8.006987318,9.110296938,0.0-2.0
A,4,H,4,0.129,9.334,9.463,9.110296938,9.23,
A,5,H,1,0.58,9.23,9.81,9.23,9.782030457,
A,5,H,2,1.01,9.81,10.81,9.782030457,10.73380711,0.0-1.0
A,5,H,3,1.506,10.81,12.291,10.73380711,12.14338832,0.0-1.5 150.0-151.0
A,5,H,4,0.091,12.291,12.382,12.14338832,12.23,
A,6,H,1,0.65,12.23,12.87,12.23,12.83491493,64.0-65.0
A,6,H,2,0.941,12.87,13.801,12.83491493,13.71487713,0.0-1.0
A,6,H,3,1.5,13.801,15.271,13.71487713,15.10429112,0.0-1.0 148.0-150.0
A,6,H,4,0.133,15.271,15.404,15.10429112,15.23,
A,7,H,1,0.155,15.23,15.385,15.23,15.37189808,
A,7,H,2,1.512,15.385,16.897,15.37189808,16.75609094,
A,7,H,3,1.5,16.897,18.387,16.75609094,18.12014342,0.0-1.0
A,7,H,4,0.12,18.387,18.507,18.12014342,18.23,
A,8,H,1,0.298,18.23,18.523,18.23,18.50503129,0.0-0.5
A,8,H,2,1.315,18.523,19.838,18.50503129,19.73938673,
A,8,H,3,1.505,19.838,21.333,19.73938673,21.14270338,0.0-1.0
A,8,H,4,0.118,21.333,21.426,21.14270338,21.23,9.5-12.0
A,9,H,1,0.431,21.23,21.651,21.23,21.62754485,0.0-0.5 42.5-43.0
A,9,H,2,1.205,21.651,22.846,21.62754485,22.75596789,0.0-1.0
A,9,H,3,1.503,22.846,24.319,22.75596789,24.14690274,0.0-3.0
A,9,H,4,0.088,24.319,24.407,24.14690274,24.23,
A,10,H,1,0.335,24.23,24.555,24.23,24.53251319,0.0-1.0
A,10,H,2,1.317,24.555,25.862,24.53251319,25.7490816,0.0-1.0
A,10,H,3,1.501,25.862,27.363,25.7490816,27.14622712,
A,10,H,4,0.09,27.363,27.453,27.14622712,27.23,
A,11,H,1,0.915,27.23,28.14,27.23,28.07233261,0.0-0.5
A,11,H,2,0.73,28.14,28.86,28.07233261,28.73879358,0.0-1.0
A,11,H,3,1.49,28.86,30.34,28.73879358,30.10874113,0.0-1.0
A,11,H,4,0.131,30.34,30.471,30.10874113,30.23,
A,12,H,1,0.92,30.23,31.15,30.23,31.08981308,
A,12,H,2,0.68,31.15,31.82,31.08981308,31.71598131,0.0-1.0
A,12,H,3,1.498,31.82,33.308,31.71598131,33.10663551,0.0-1.0
A,12,H,4,0.132,33.308,33.44,33.10663551,33.23,
A,13,H,1,1.53,33.23,34.74,33.23,34.68987754,0.0-2.0
A,13,H,2,1.533,34.74,36.263,34.68987754,36.16232356,0.0-1.0
A,13,H,3,0.07,36.263,36.333,36.16232356,36.23,
A,14,H,1,1.515,36.23,37.735,36.23,37.65879747,0.0-1.0
A,14,H,2,1.52,37.735,39.245,37.65879747,39.09234177,0.0-1.0
A,14,H,3,0.15,39.245,39.39,39.09234177,39.23,0.0-0.5
A,15,H,1,1.51,39.23,40.74,39.23,40.70990853,
A,15,H,2,1.516,40.74,42.231,40.70990853,42.17119569,20.0-22.5
A,15,H,3,0.06,42.231,42.291,42.17119569,42.23,
A,16,H,1,1.505,42.23,43.72,42.23,43.66683703,0.0-1.5
A,16,H,2,1.505,43.72,45.195,43.66683703,45.08920926,82.5-83.0 148.0-150.5
A,16,H,3,0.071,45.195,45.266,45.08920926,45.15767599,
A,16,H,4,0.075,45.266,45.341,45.15767599,45.23,
A,17,H,1,1.509,45.23,46.739,45.23,46.67725064,
A,17,H,2,1.519,46.739,48.228,46.67725064,48.10531969,0.0-3.0
A,17,H,3,0.13,48.228,48.358,48.10531969,48.23,
A,18,H,1,1.53,48.23,49.725,48.23,49.65698059,0.0-0.5 94.5-96.0 151.0-152.5
A,18,H,2,1.533,49.725,51.243,49.65698059,51.10591473,0.0-1.5
A,18,H,3,0.13,51.243,51.373,51.10591473,51.23,
A,19,H,1,1.524,51.23,52.734,51.23,52.66923445,0.0-1.0 55.0-56.0
A,19,H,2,1.531,52.734,54.255,52.66923445,54.12473684,0.0-1.0
A,19,H,3,0.11,54.255,54.365,54.12473684,54.23,
A,20,H,1,1.53,54.23,55.75,54.23,55.67578313,123.5-124.5
A,20,H,2,1.54,55.75,57.28,55.67578313,57.131078,0.0-1.0
A,20,H,3,0.124,57.28,57.384,57.131078,57.23,0.0-2.0
A,21,H,1,1.545,57.23,58.775,57.23,58.70002854,
A,21,H,2,1.545,58.775,60.29,58.70002854,60.14151284,0.0-3.0
A,21,H,3,0.01,60.29,60.3,60.14151284,60.15102759,
A,21,H,4,0.088,60.3,60.383,60.15102759,60.23,8.5-9.0
A,22,H,1,0.43,60.23,60.635,60.23,60.635,0.0-2.5
A,22,H,2,1.01,60.635,61.635,60.635,61.635,100.0-101.0
A,22,H,3,1.51,61.635,63.125,61.635,63.125,0.0-1.5 69.5-70.0
A,22,H,4,0.084,63.125,63.209,63.125,63.209,
A,23,H,1,0.597,63.23,63.792,63.23,63.76405131,0.0-3.5
A,23,H,2,1.01,63.792,64.772,63.76405131,64.69531517,0.0-3.0
A,23,H,3,1.515,64.772,66.267,64.69531517,66.11596769,0.0-2.0
A,23,H,4,0.12,66.267,66.387,66.11596769,66.23,
A,24,H,1,0.475,66.23,66.705,66.23,66.67952681,
A,24,H,2,1.11,66.705,67.805,66.67952681,67.72053628,0.0-1.0
A,24,H,3,1.515,67.805,69.31,67.72053628,69.1448265,0.0-1.0
A,24,H,4,0.1,69.31,69.4,69.1448265,69.23,9.0-10.0
A,25,H,1,1.513,69.23,70.733,69.23,70.69206226,0.0-1.0
A,25,H,2,1.523,70.733,72.246,70.69206226,72.16385214,0.0-1.0
A,25,H,3,0.068,72.246,72.314,72.16385214,72.23,
A,26,H,1,0.39,72.23,72.61,72.23,72.58558328,0.0-1.0
A,26,H,2,1.215,72.61,73.815,72.58558328,73.71315658,0.0-1.0
A,26,H,3,1.51,73.815,75.295,73.71315658,75.09805989,0.0-1.5 95.5-97.0
A,26,H,4,0.161,75.295,75.436,75.09805989,75.23,14.0-16.0
A,27,H,1,0.489,75.23,75.699,75.23,75.67078947,0.0-1.5 48.5-49.0
A,27,H,2,1.116,75.699,76.785,75.67078947,76.69146617,0.0-1.0 69.0-71.0
A,27,H,3,1.505,76.785,78.275,76.69146617,78.09184211,0.0-1.5
A,27,H,4,0.152,78.275,78.422,78.09184211,78.23,0.0-0.5
A,28,H,1,1.511,78.23,79.741,78.23,79.67317096,
A,28,H,2,1.53,79.741,81.241,79.67317096,81.10583572,0.0-2.0 152.0-153.0
A,28,H,3,0.15,81.241,81.371,81.10583572,81.23,13.0-15.0
A,29,H,1,1.515,81.23,82.745,81.23,82.66149606,
A,29,H,2,1.51,82.745,84.245,82.66149606,84.0788189,0.0-1.0
A,29,H,3,0.175,84.245,84.405,84.0788189,84.23,15.5-17.0
A,30,H,1,0.51,84.23,84.725,84.23,84.70795301,0.0-1.5
A,30,H,2,1.205,84.725,85.92,84.70795301,85.86179916,0.0-1.0
A,30,H,3,1.318,85.92,87.223,85.86179916,87.11992597,0.0-1.5
A,30,H,4,0.114,87.223,87.337,87.11992597,87.23,
A,31,H,1,0.625,87.23,87.855,87.23,87.84455261,
A,31,H,2,0.911,87.855,88.741,87.84455261,88.71574238,36.0-38.5
A,31,H,3,1.5,88.741,90.231,88.71574238,90.18083579,0.0-1.0
A,31,H,4,0.05,90.231,90.281,90.18083579,90.23,
A,32,H,1,1.385,90.23,91.575,90.23,91.56919681,0.0-0.5 55.5-59.0
A,32,H,2,1.45,91.575,93.01,91.56919681,92.99800531,0.0-1.5
A,32,H,3,0.233,93.01,93.243,92.99800531,93.23,
A,33,H,1,1.183,93.23,94.383,93.23,94.383,0.0-1.0 48.0-50.0
A,33,H,2,0.613,94.383,94.986,94.383,94.986,0.0-1.0
A,33,H,3,0.493,94.986,95.469,94.986,95.469,0.0-1.0
A,33,H,4,0.065,95.469,95.534,95.469,95.534,
A,34,H,1,1.125,95.6,96.71,95.6,96.66764989,0.0-1.5
A,34,H,2,1.25,96.71,97.945,96.66764989,97.85553062,0.0-1.5
A,34,H,3,0.652,97.945,98.597,97.85553062,98.4826547,
A,34,H,4,0.122,98.597,98.719,98.4826547,98.6,
A,35,H,1,1.18,98.6,99.77,98.6,99.73850146,0.0-1.0
A,35,H,2,0.555,99.77,100.315,99.73850146,100.2688291,0.0-1.0
A,35,H,3,1.303,100.315,101.608,100.2688291,101.5270191,0.0-1.0
A,35,H,4,0.075,101.608,101.683,101.5270191,101.6,
A,36,H,1,1.512,101.6,103.102,101.6,103.0318398,0.0-1.0
A,36,H,2,1.52,103.102,104.612,103.0318398,104.471306,0.0-1.0
A,36,H,3,0.135,104.612,104.747,104.471306,104.6,
A,37,H,1,0.875,104.6,105.455,104.6,105.4142857,0.0-1.0 45.0-46.0
A,37,H,2,0.697,105.455,106.142,105.4142857,106.0685714,0.0-1.0
A,37,H,3,1.508,106.142,107.645,106.0685714,107.5,0.0-0.5
A,37,H,4,0.105,107.645,107.75,107.5,107.6,
A,38,H,1,0.46,107.6,107.79,107.6,107.7805275,0.0-27.0
A,38,H,2,1.01,107.79,108.8,107.7805275,108.7401734,
A,38,H,3,1.503,108.8,110.273,108.7401734,110.1397363,0.0-3.0
A,38,H,4,0.11,110.273,110.368,110.1397363,110.23,9.0-10.5
A,39,H,1,0.42,110.23,110.505,110.23,110.4669838,0.0-14.5
A,39,H,2,0.909,110.505,111.399,110.4669838,111.2373968,0.0-1.5
A,39,H,3,1.51,111.399,112.899,111.2373968,112.5300359,0.0-1.0
A,39,H,4,0.126,112.899,113.015,112.5300359,112.63,11.5-12.5
A,40,H,1,1.45,112.63,114.065,112.63,114.065,0.0-1.5
A,40,H,2,1.51,114.065,115.535,114.065,115.535,0.0-1.0 147.5-150.5
A,40,H,3,0.065,115.535,115.6,115.535,115.6,
A,41,H,1,0.3,115.63,115.915,115.63,115.8793598,0.0-1.5
A,41,H,2,0.444,115.915,116.359,115.8793598,116.2678361,
A,41,H,3,1.509,116.359,117.868,116.2678361,117.5881306,
A,41,H,4,0.105,117.868,117.973,117.5881306,117.68,
